neighborhood,female_percentage,population
Baro de Viver,48.92574444025632,2653
Can Baro,47.22103004291846,9320
Can Peguera,46.68171557562077,2215
Canyelles,47.39468662850433,6813
Ciutat Meridiana,48.99569583931133,11152
Diagonal Mar i el Front Maritim del Poblenou,48.74408983451536,13536
Horta,46.82587774015328,28055
Hostafrancs,47.96919637312136,16102
Montbau,45.013687915526006,5114
Navas,46.68819229561864,22299
Pedralbes,46.59552845528455,11808
Porta,47.00316592315441,27796
Provençals del Poblenou,47.90653764455983,21185
Sant Genis dels Agudells,47.244414353419096,7385
Sant Marti de Provençals,46.78409394182012,26229
"Sant Pere, Santa Caterina i la Ribera",50.31944021904472,23009
Sants,48.25888871082213,43679
Torre Baro,49.98289428669175,2923
Vallbona,48.89364739471806,1401
Vallcarca i els Penitents,46.59111791730475,16325
Verdun,46.52157015157404,12865
Vilapicina i la Torre Llobeta,45.897584541062805,25875
el Baix Guinardo,46.30059592910765,25842
el Barri Gotic,61.29978118161925,22850
el Besos i el Maresme,52.3663654464696,26116
el Bon Pastor,49.96358339402768,13730
el Camp d'en Grassot i Gracia Nova,45.91253677302557,35352
el Camp de l'Arpa del Clot,46.90509295020341,38838
el Carmel,47.54308764209754,32724
el Clot,47.845584663104,26759
el Coll,46.69614984391259,7688
el Congres i els Indians,46.75922743831191,14549
el Guinardo,46.77829872739451,37325
el Parc i la Llacuna del Poblenou,48.35365087344477,15914
el Poblenou,48.63561070587893,34411
el Raval,53.85721327637201,48688
el Turo de la Peira,46.812059804769554,16186
la Barceloneta,49.44132231404959,15125
la Bordeta,47.71991157266979,19451
la Clota,52.00573065902579,698
la Font d'en Fargues,47.62756443976854,9505
la Font de la Guatlla,47.48510596737962,10239
la Guineueta,46.20423134866051,15267
la Marina de Port,48.08632445645182,31092
la Maternitat i Sant Ramon,46.60230849947534,23825
la Prosperitat,46.84382909036772,26868
la Sagrera,46.82426948051948,29568
la Salut,46.39910813823857,13455
la Teixonera,48.12354699435403,12044
la Trinitat Nova,48.00734137388569,7628
la Trinitat Vella,50.8988870921716,10513
la Vall d'Hebron,46.57788267026298,5932
la Verneda i la Pau,47.35745537884576,28798
la Vila de Gracia,45.7190423339147,50456
les Corts,46.26820190235727,45943
les Roquetes,48.22194046972167,16563
