neighborhood,gini_index,80_20_rate
Baro de Viver,28.5,2.5
Can Baro,31.47,2.74
Can Peguera,29.55,2.65
Canyelles,23.9,2.08
Ciutat Meridiana,29.95,2.8
Diagonal Mar i el Front Maritim del Poblenou,31.81,2.79
el Baix Guinardo,30.84,2.73
el Barri Gotic,39.13,3.46
el Besos i el Maresme,29.72,2.67
el Bon Pastor,28.96,2.54
el Camp de l'Arpa del Clot,31.17,2.81
el Camp d'en Grassot i Gracia Nova,30.96,2.68
el Carmel,28.77,2.51
el Clot,29.37,2.61
el Coll,32.8,2.82
el Congres i els Indians,29.78,2.64
el Guinardo,31.58,2.82
el Parc i la Llacuna del Poblenou,31.06,2.77
el Poblenou,31.73,2.77
el Raval,34.5,2.98
el Turo de la Peira,30.28,2.71
Horta,29.68,2.55
Hostafrancs,32.8,3.08
la Barceloneta,33.64,2.99
la Bordeta,28.6,2.55
la Clota,29.6,2.4
la Font de la Guatlla,31.24,2.86
la Font d'en Fargues,31.04,2.54
la Guineueta,25.61,2.21
la Marina de Port,28.44,2.52
la Maternitat i Sant Ramon,31.21,2.69
la Prosperitat,28.51,2.54
la Sagrera,28.68,2.58
la Salut,31.95,2.72
la Teixonera,30.06,2.66
la Trinitat Nova,27.82,2.38
la Trinitat Vella,31.28,2.9
la Vall d'Hebron,27.15,2.3
la Verneda i la Pau,27.13,2.36
la Vila de Gracia,33.45,2.95
les Corts,32.72,2.8
les Roquetes,29.5,2.64
Montbau,29.2,2.45
Navas,29.56,2.62
Pedralbes,40.13,3.57
Porta,29.34,2.58
Provençals del Poblenou,29.24,2.58
Sant Genis dels Agudells,29.5,2.56
Sant Marti de Provençals,27.36,2.39
"Sant Pere, Santa Caterina i la Ribera",37.03,3.33
Sants,31.74,2.88
Torre Baro,29.55,2.5
Vallbona,28.4,2.4
Vallcarca i els Penitents,33.75,3.05
Verdun,29.59,2.65
Vilapicina i la Torre Llobeta,29.52,2.65
